"Notes"	"State"	"State Code"	"Year"	"Year Code"	Cases	Percent of Total
	"Arizona"	"04"	"2000"	"2000"	261	0.07%
	"Arizona"	"04"	"1999"	"1999"	262	0.07%
	"Arizona"	"04"	"1998"	"1998"	254	0.07%
	"Arizona"	"04"	"1997"	"1997"	296	0.08%
	"Arizona"	"04"	"1996"	"1996"	282	0.07%
	"Arizona"	"04"	"1995"	"1995"	317	0.08%
	"Arizona"	"04"	"1994"	"1994"	247	0.07%
	"Arizona"	"04"	"1993"	"1993"	228	0.06%
"Total"	"Arizona"	"04"			6498	1.72%
	"Arkansas"	"05"	"2018"	"2018"	78	0.02%
	"Arkansas"	"05"	"2017"	"2017"	85	0.02%
	"Arkansas"	"05"	"2016"	"2016"	91	0.02%
	"Arkansas"	"05"	"2015"	"2015"	90	0.02%
	"Arkansas"	"05"	"2014"	"2014"	93	0.02%
	"Arkansas"	"05"	"2013"	"2013"	72	0.02%
	"Arkansas"	"05"	"2012"	"2012"	70	0.02%
	"Arkansas"	"05"	"2011"	"2011"	85	0.02%
	"Arkansas"	"05"	"2010"	"2010"	78	0.02%
	"Arkansas"	"05"	"2009"	"2009"	82	0.02%
	"Arkansas"	"05"	"2008"	"2008"	83	0.02%
	"Arkansas"	"05"	"2007"	"2007"	106	0.03%
	"Arkansas"	"05"	"2006"	"2006"	102	0.03%
	"Arkansas"	"05"	"2005"	"2005"	117	0.03%
	"Arkansas"	"05"	"2004"	"2004"	134	0.04%
	"Arkansas"	"05"	"2003"	"2003"	128	0.03%
	"Arkansas"	"05"	"2002"	"2002"	136	0.04%
	"Arkansas"	"05"	"2001"	"2001"	162	0.04%
	"Arkansas"	"05"	"2000"	"2000"	199	0.05%
	"Arkansas"	"05"	"1999"	"1999"	181	0.05%
	"Arkansas"	"05"	"1998"	"1998"	171	0.05%
	"Arkansas"	"05"	"1997"	"1997"	200	0.05%
	"Arkansas"	"05"	"1996"	"1996"	225	0.06%
	"Arkansas"	"05"	"1995"	"1995"	271	0.07%
	"Arkansas"	"05"	"1994"	"1994"	264	0.07%
	"Arkansas"	"05"	"1993"	"1993"	209	0.06%
"Total"	"Arkansas"	"05"			3512	0.93%
	"California"	"06"	"2018"	"2018"	2092	0.55%
	"California"	"06"	"2017"	"2017"	2058	0.54%
	"California"	"06"	"2016"	"2016"	2058	0.54%
	"California"	"06"	"2015"	"2015"	2131	0.56%
	"California"	"06"	"2014"	"2014"	2130	0.56%
	"California"	"06"	"2013"	"2013"	2163	0.57%
	"California"	"06"	"2012"	"2012"	2185	0.58%
	"California"	"06"	"2011"	"2011"	2320	0.61%
	"California"	"06"	"2010"	"2010"	2323	0.61%
	"California"	"06"	"2009"	"2009"	2466	0.65%
	"California"	"06"	"2008"	"2008"	2695	0.71%
	"California"	"06"	"2007"	"2007"	2722	0.72%
	"California"	"06"	"2006"	"2006"	2776	0.73%
	"California"	"06"	"2005"	"2005"	2897	0.77%
	"California"	"06"	"2004"	"2004"	2990	0.79%
	"California"	"06"	"2003"	"2003"	3218	0.85%
	"California"	"06"	"2002"	"2002"	3172	0.84%
	"California"	"06"	"2001"	"2001"	3329	0.88%
	"California"	"06"	"2000"	"2000"	3288	0.87%
	"California"	"06"	"1999"	"1999"	3604	0.95%
	"California"	"06"	"1998"	"1998"	3850	1.02%
	"California"	"06"	"1997"	"1997"	4045	1.07%
	"California"	"06"	"1996"	"1996"	4288	1.13%
	"California"	"06"	"1995"	"1995"	4656	1.23%
	"California"	"06"	"1994"	"1994"	4834	1.28%
	"California"	"06"	"1993"	"1993"	5146	1.36%
"Total"	"California"	"06"			79436	21.00%
	"Colorado"	"08"	"2018"	"2018"	64	0.02%
	"Colorado"	"08"	"2017"	"2017"	84	0.02%
	"Colorado"	"08"	"2016"	"2016"	64	0.02%
	"Colorado"	"08"	"2015"	"2015"	73	0.02%
	"Colorado"	"08"	"2014"	"2014"	64	0.02%
	"Colorado"	"08"	"2013"	"2013"	74	0.02%
	"Colorado"	"08"	"2012"	"2012"	64	0.02%
	"Colorado"	"08"	"2011"	"2011"	70	0.02%
	"Colorado"	"08"	"2010"	"2010"	71	0.02%
	"Colorado"	"08"	"2009"	"2009"	85	0.02%
	"Colorado"	"08"	"2008"	"2008"	103	0.03%
	"Colorado"	"08"	"2007"	"2007"	111	0.03%
	"Colorado"	"08"	"2006"	"2006"	124	0.03%
	"Colorado"	"08"	"2005"	"2005"	101	0.03%
	"Colorado"	"08"	"2004"	"2004"	128	0.03%
	"Colorado"	"08"	"2003"	"2003"	111	0.03%
	"Colorado"	"08"	"2002"	"2002"	103	0.03%
	"Colorado"	"08"	"2001"	"2001"	138	0.04%
	"Colorado"	"08"	"2000"	"2000"	97	0.03%
	"Colorado"	"08"	"1999"	"1999"	88	0.02%
	"Colorado"	"08"	"1998"	"1998"	79	0.02%
	"Colorado"	"08"	"1997"	"1997"	94	0.02%
	"Colorado"	"08"	"1996"	"1996"	101	0.03%
	"Colorado"	"08"	"1995"	"1995"	92	0.02%
	"Colorado"	"08"	"1994"	"1994"	93	0.02%
	"Colorado"	"08"	"1993"	"1993"	107	0.03%
"Total"	"Colorado"	"08"			2383	0.63%
	"Connecticut"	"09"	"2018"	"2018"	51	0.01%
	"Connecticut"	"09"	"2017"	"2017"	63	0.02%
	"Connecticut"	"09"	"2016"	"2016"	52	0.01%
	"Connecticut"	"09"	"2015"	"2015"	70	0.02%
	"Connecticut"	"09"	"2014"	"2014"	60	0.02%
	"Connecticut"	"09"	"2013"	"2013"	62	0.02%
	"Connecticut"	"09"	"2012"	"2012"	74	0.02%
	"Connecticut"	"09"	"2011"	"2011"	83	0.02%
	"Connecticut"	"09"	"2010"	"2010"	85	0.02%
	"Connecticut"	"09"	"2009"	"2009"	95	0.03%
	"Connecticut"	"09"	"2008"	"2008"	98	0.03%
	"Connecticut"	"09"	"2007"	"2007"	108	0.03%
	"Connecticut"	"09"	"2006"	"2006"	89	0.02%
	"Connecticut"	"09"	"2005"	"2005"	96	0.03%
	"Connecticut"	"09"	"2004"	"2004"	101	0.03%
	"Connecticut"	"09"	"2003"	"2003"	111	0.03%
	"Connecticut"	"09"	"2002"	"2002"	105	0.03%
	"Connecticut"	"09"	"2001"	"2001"	121	0.03%
	"Connecticut"	"09"	"2000"	"2000"	105	0.03%
	"Connecticut"	"09"	"1999"	"1999"	121	0.03%
	"Connecticut"	"09"	"1998"	"1998"	127	0.03%
	"Connecticut"	"09"	"1997"	"1997"	128	0.03%
	"Connecticut"	"09"	"1996"	"1996"	138	0.04%
	"Connecticut"	"09"	"1995"	"1995"	139	0.04%
	"Connecticut"	"09"	"1994"	"1994"	147	0.04%
	"Connecticut"	"09"	"1993"	"1993"	154	0.04%
"Total"	"Connecticut"	"09"			2583	0.68%
	"Delaware"	"10"	"2018"	"2018"	22	0.01%
	"Delaware"	"10"	"2017"	"2017"	15	0.00%
	"Delaware"	"10"	"2016"	"2016"	16	0.00%
	"Delaware"	"10"	"2015"	"2015"	22	0.01%
	"Delaware"	"10"	"2014"	"2014"	22	0.01%
	"Delaware"	"10"	"2013"	"2013"	19	0.01%
	"Delaware"	"10"	"2012"	"2012"	28	0.01%
	"Delaware"	"10"	"2011"	"2011"	21	0.01%
	"Delaware"	"10"	"2010"	"2010"	20	0.01%
	"Delaware"	"10"	"2009"	"2009"	19	0.01%
	"Delaware"	"10"	"2008"	"2008"	23	0.01%
	"Delaware"	"10"	"2007"	"2007"	19	0.01%
	"Delaware"	"10"	"2006"	"2006"	29	0.01%
	"Delaware"	"10"	"2005"	"2005"	27	0.01%
	"Delaware"	"10"	"2004"	"2004"	33	0.01%
	"Delaware"	"10"	"2003"	"2003"	32	0.01%
	"Delaware"	"10"	"2002"	"2002"	25	0.01%
	"Delaware"	"10"	"2001"	"2001"	33	0.01%
	"Delaware"	"10"	"2000"	"2000"	28	0.01%
	"Delaware"	"10"	"1999"	"1999"	34	0.01%
	"Delaware"	"10"	"1998"	"1998"	36	0.01%
	"Delaware"	"10"	"1997"	"1997"	38	0.01%
	"Delaware"	"10"	"1996"	"1996"	43	0.01%
	"Delaware"	"10"	"1995"	"1995"	56	0.01%
	"Delaware"	"10"	"1994"	"1994"	55	0.01%
	"Delaware"	"10"	"1993"	"1993"	66	0.02%
"Total"	"Delaware"	"10"			781	0.21%
	"District of Columbia"	"11"	"2018"	"2018"	36	0.01%
	"District of Columbia"	"11"	"2017"	"2017"	36	0.01%
	"District of Columbia"	"11"	"2016"	"2016"	25	0.01%
	"District of Columbia"	"11"	"2015"	"2015"	33	0.01%
	"District of Columbia"	"11"	"2014"	"2014"	32	0.01%
	"District of Columbia"	"11"	"2013"	"2013"	37	0.01%
	"District of Columbia"	"11"	"2012"	"2012"	38	0.01%
	"District of Columbia"	"11"	"2011"	"2011"	57	0.02%
	"District of Columbia"	"11"	"2010"	"2010"	43	0.01%
	"District of Columbia"	"11"	"2009"	"2009"	41	0.01%
	"District of Columbia"	"11"	"2008"	"2008"	54	0.01%
	"District of Columbia"	"11"	"2007"	"2007"	59	0.02%
	"District of Columbia"	"11"	"2006"	"2006"	72	0.02%
	"District of Columbia"	"11"	"2005"	"2005"	55	0.01%
	"District of Columbia"	"11"	"2004"	"2004"	81	0.02%
	"District of Columbia"	"11"	"2003"	"2003"	79	0.02%
	"District of Columbia"	"11"	"2002"	"2002"	82	0.02%
	"District of Columbia"	"11"	"2001"	"2001"	74	0.02%
	"District of Columbia"	"11"	"2000"	"2000"	85	0.02%
	"District of Columbia"	"11"	"1999"	"1999"	70	0.02%
	"District of Columbia"	"11"	"1998"	"1998"	107	0.03%
	"District of Columbia"	"11"	"1997"	"1997"	110	0.03%
	"District of Columbia"	"11"	"1996"	"1996"	139	0.04%
	"District of Columbia"	"11"	"1995"	"1995"	102	0.03%
	"District of Columbia"	"11"	"1994"	"1994"	120	0.03%
	"District of Columbia"	"11"	"1993"	"1993"	162	0.04%
"Total"	"District of Columbia"	"11"			1829	0.48%
	"Florida"	"12"	"2018"	"2018"	591	0.16%
	"Florida"	"12"	"2017"	"2017"	549	0.15%
	"Florida"	"12"	"2016"	"2016"	639	0.17%
	"Florida"	"12"	"2015"	"2015"	601	0.16%
	"Florida"	"12"	"2014"	"2014"	590	0.16%
	"Florida"	"12"	"2013"	"2013"	646	0.17%
	"Florida"	"12"	"2012"	"2012"	675	0.18%
	"Florida"	"12"	"2011"	"2011"	751	0.20%
	"Florida"	"12"	"2010"	"2010"	828	0.22%
	"Florida"	"12"	"2009"	"2009"	822	0.22%
	"Florida"	"12"	"2008"	"2008"	957	0.25%
	"Florida"	"12"	"2007"	"2007"	988	0.26%
	"Florida"	"12"	"2006"	"2006"	1032	0.27%
	"Florida"	"12"	"2005"	"2005"	1093	0.29%
	"Florida"	"12"	"2004"	"2004"	1074	0.28%
	"Florida"	"12"	"2003"	"2003"	1041	0.28%
	"Florida"	"12"	"2002"	"2002"	1084	0.29%
	"Florida"	"12"	"2001"	"2001"	1138	0.30%
	"Florida"	"12"	"2000"	"2000"	1164	0.31%
	"Florida"	"12"	"1999"	"1999"	1273	0.34%
	"Florida"	"12"	"1998"	"1998"	1294	0.34%
	"Florida"	"12"	"1997"	"1997"	1393	0.37%
	"Florida"	"12"	"1996"	"1996"	1410	0.37%
	"Florida"	"12"	"1995"	"1995"	1547	0.41%
	"Florida"	"12"	"1994"	"1994"	1742	0.46%
	"Florida"	"12"	"1993"	"1993"	1646	0.44%
"Total"	"Florida"	"12"			26568	7.02%
	"Georgia"	"13"	"2018"	"2018"	272	0.07%
	"Georgia"	"13"	"2017"	"2017"	293	0.08%
	"Georgia"	"13"	"2016"	"2016"	302	0.08%
	"Georgia"	"13"	"2015"	"2015"	318	0.08%
	"Georgia"	"13"	"2014"	"2014"	334	0.09%
	"Georgia"	"13"	"2013"	"2013"	339	0.09%
	"Georgia"	"13"	"2012"	"2012"	358	0.09%
	"Georgia"	"13"	"2011"	"2011"	347	0.09%
	"Georgia"	"13"	"2010"	"2010"	411	0.11%
	"Georgia"	"13"	"2009"	"2009"	411	0.11%
	"Georgia"	"13"	"2008"	"2008"	476	0.13%
	"Georgia"	"13"	"2007"	"2007"	476	0.13%
	"Georgia"	"13"	"2006"	"2006"	506	0.13%
	"Georgia"	"13"	"2005"	"2005"	504	0.13%
	"Georgia"	"13"	"2004"	"2004"	537	0.14%
	"Georgia"	"13"	"2003"	"2003"	532	0.14%
	"Georgia"	"13"	"2002"	"2002"	535	0.14%
	"Georgia"	"13"	"2001"	"2001"	577	0.15%
	"Georgia"	"13"	"2000"	"2000"	695	0.18%
	"Georgia"	"13"	"1999"	"1999"	670	0.18%
	"Georgia"	"13"	"1998"	"1998"	630	0.17%
	"Georgia"	"13"	"1997"	"1997"	695	0.18%
	"Georgia"	"13"	"1996"	"1996"	792	0.21%
	"Georgia"	"13"	"1995"	"1995"	735	0.19%
	"Georgia"	"13"	"1994"	"1994"	740	0.20%
	"Georgia"	"13"	"1993"	"1993"	809	0.21%
"Total"	"Georgia"	"13"			13294	3.51%
	"Hawaii"	"15"	"2018"	"2018"	120	0.03%
	"Hawaii"	"15"	"2017"	"2017"	116	0.03%
	"Hawaii"	"15"	"2016"	"2016"	119	0.03%
	"Hawaii"	"15"	"2015"	"2015"	127	0.03%
	"Hawaii"	"15"	"2014"	"2014"	136	0.04%
	"Hawaii"	"15"	"2013"	"2013"	115	0.03%
	"Hawaii"	"15"	"2012"	"2012"	117	0.03%
	"Hawaii"	"15"	"2011"	"2011"	123	0.03%
	"Hawaii"	"15"	"2010"	"2010"	115	0.03%
	"Hawaii"	"15"	"2009"	"2009"	117	0.03%
	"Hawaii"	"15"	"2008"	"2008"	124	0.03%
	"Hawaii"	"15"	"2007"	"2007"	122	0.03%
	"Hawaii"	"15"	"2006"	"2006"	114	0.03%
	"Hawaii"	"15"	"2005"	"2005"	112	0.03%
	"Hawaii"	"15"	"2004"	"2004"	116	0.03%
	"Hawaii"	"15"	"2003"	"2003"	116	0.03%
	"Hawaii"	"15"	"2002"	"2002"	148	0.04%
	"Hawaii"	"15"	"2001"	"2001"	150	0.04%
	"Hawaii"	"15"	"2000"	"2000"	136	0.04%
	"Hawaii"	"15"	"1999"	"1999"	184	0.05%
	"Hawaii"	"15"	"1998"	"1998"	181	0.05%
	"Hawaii"	"15"	"1997"	"1997"	165	0.04%
	"Hawaii"	"15"	"1996"	"1996"	200	0.05%
	"Hawaii"	"15"	"1995"	"1995"	193	0.05%
	"Hawaii"	"15"	"1994"	"1994"	247	0.07%
	"Hawaii"	"15"	"1993"	"1993"	251	0.07%
"Total"	"Hawaii"	"15"			3764	1.00%
	"Idaho"	"16"	"2018"	"2018"	15	0.00%
	"Idaho"	"16"	"2017"	"2017"	10	0.00%
	"Idaho"	"16"	"2016"	"2016"	18	0.00%
	"Idaho"	"16"	"2015"	"2015"	11	0.00%
	"Idaho"	"16"	"2014"	"2014"	11	0.00%
	"Idaho"	"16"	"2013"	"2013"	11	0.00%
	"Idaho"	"16"	"2012"	"2012"	15	0.00%
	"Idaho"	"16"	"2011"	"2011"	12	0.00%
	"Idaho"	"16"	"2010"	"2010"	15	0.00%
	"Idaho"	"16"	"2009"	"2009"	18	0.00%
	"Idaho"	"16"	"2008"	"2008"	11	0.00%
	"Idaho"	"16"	"2007"	"2007"	9	0.00%
	"Idaho"	"16"	"2006"	"2006"	20	0.01%
	"Idaho"	"16"	"2005"	"2005"	23	0.01%
	"Idaho"	"16"	"2004"	"2004"	11	0.00%
	"Idaho"	"16"	"2003"	"2003"	13	0.00%
	"Idaho"	"16"	"2002"	"2002"	14	0.00%
	"Idaho"	"16"	"2001"	"2001"	9	0.00%
	"Idaho"	"16"	"2000"	"2000"	16	0.00%
	"Idaho"	"16"	"1999"	"1999"	16	0.00%
	"Idaho"	"16"	"1998"	"1998"	14	0.00%
	"Idaho"	"16"	"1997"	"1997"	15	0.00%
	"Idaho"	"16"	"1996"	"1996"	15	0.00%
	"Idaho"	"16"	"1995"	"1995"	14	0.00%
	"Idaho"	"16"	"1994"	"1994"	13	0.00%
	"Idaho"	"16"	"1993"	"1993"	10	0.00%
"Total"	"Idaho"	"16"			359	0.09%
	"Illinois"	"17"	"2018"	"2018"	319	0.08%
	"Illinois"	"17"	"2017"	"2017"	335	0.09%
	"Illinois"	"17"	"2016"	"2016"	341	0.09%
	"Illinois"	"17"	"2015"	"2015"	343	0.09%
	"Illinois"	"17"	"2014"	"2014"	319	0.08%
	"Illinois"	"17"	"2013"	"2013"	327	0.09%
	"Illinois"	"17"	"2012"	"2012"	346	0.09%
	"Illinois"	"17"	"2011"	"2011"	358	0.09%
	"Illinois"	"17"	"2010"	"2010"	383	0.10%
	"Illinois"	"17"	"2009"	"2009"	418	0.11%
	"Illinois"	"17"	"2008"	"2008"	466	0.12%
	"Illinois"	"17"	"2007"	"2007"	519	0.14%
	"Illinois"	"17"	"2006"	"2006"	563	0.15%
	"Illinois"	"17"	"2005"	"2005"	589	0.16%
	"Illinois"	"17"	"2004"	"2004"	567	0.15%
	"Illinois"	"17"	"2003"	"2003"	632	0.17%
	"Illinois"	"17"	"2002"	"2002"	679	0.18%
	"Illinois"	"17"	"2001"	"2001"	703	0.19%
	"Illinois"	"17"	"2000"	"2000"	738	0.20%
	"Illinois"	"17"	"1999"	"1999"	822	0.22%
	"Illinois"	"17"	"1998"	"1998"	842	0.22%
	"Illinois"	"17"	"1997"	"1997"	964	0.25%
	"Illinois"	"17"	"1996"	"1996"	1063	0.28%
	"Illinois"	"17"	"1995"	"1995"	1022	0.27%
	"Illinois"	"17"	"1994"	"1994"	1115	0.29%
	"Illinois"	"17"	"1993"	"1993"	1234	0.33%
"Total"	"Illinois"	"17"			16007	4.23%
	"Indiana"	"18"	"2018"	"2018"	116	0.03%
	"Indiana"	"18"	"2017"	"2017"	100	0.03%
	"Indiana"	"18"	"2016"	"2016"	109	0.03%
	"Indiana"	"18"	"2015"	"2015"	116	0.03%
	"Indiana"	"18"	"2014"	"2014"	108	0.03%
	"Indiana"	"18"	"2013"	"2013"	94	0.02%
	"Indiana"	"18"	"2012"	"2012"	102	0.03%
	"Indiana"	"18"	"2011"	"2011"	100	0.03%
	"Indiana"	"18"	"2010"	"2010"	90	0.02%
	"Indiana"	"18"	"2009"	"2009"	119	0.03%
	"Indiana"	"18"	"2008"	"2008"	118	0.03%
	"Indiana"	"18"	"2007"	"2007"	128	0.03%
	"Indiana"	"18"	"2006"	"2006"	124	0.03%
	"Indiana"	"18"	"2005"	"2005"	146	0.04%
	"Indiana"	"18"	"2004"	"2004"	128	0.03%
	"Indiana"	"18"	"2003"	"2003"	143	0.04%
	"Indiana"	"18"	"2002"	"2002"	128	0.03%
	"Indiana"	"18"	"2001"	"2001"	115	0.03%
	"Indiana"	"18"	"2000"	"2000"	145	0.04%
	"Indiana"	"18"	"1999"	"1999"	150	0.04%
	"Indiana"	"18"	"1998"	"1998"	188	0.05%
	"Indiana"	"18"	"1997"	"1997"	168	0.04%
	"Indiana"	"18"	"1996"	"1996"	202	0.05%
	"Indiana"	"18"	"1995"	"1995"	200	0.05%
	"Indiana"	"18"	"1994"	"1994"	211	0.06%
	"Indiana"	"18"	"1993"	"1993"	248	0.07%
"Total"	"Indiana"	"18"			3596	0.95%
	"Iowa"	"19"	"2018"	"2018"	49	0.01%
	"Iowa"	"19"	"2017"	"2017"	47	0.01%
	"Iowa"	"19"	"2016"	"2016"	48	0.01%
	"Iowa"	"19"	"2015"	"2015"	38	0.01%
	"Iowa"	"19"	"2014"	"2014"	54	0.01%
	"Iowa"	"19"	"2013"	"2013"	47	0.01%
	"Iowa"	"19"	"2012"	"2012"	46	0.01%
	"Iowa"	"19"	"2011"	"2011"	39	0.01%
	"Iowa"	"19"	"2010"	"2010"	47	0.01%
	"Iowa"	"19"	"2009"	"2009"	42	0.01%
	"Iowa"	"19"	"2008"	"2008"	49	0.01%
	"Iowa"	"19"	"2007"	"2007"	43	0.01%
	"Iowa"	"19"	"2006"	"2006"	40	0.01%
	"Iowa"	"19"	"2005"	"2005"	55	0.01%
	"Iowa"	"19"	"2004"	"2004"	47	0.01%
	"Iowa"	"19"	"2003"	"2003"	40	0.01%
	"Iowa"	"19"	"2002"	"2002"	34	0.01%
	"Iowa"	"19"	"2001"	"2001"	43	0.01%
	"Iowa"	"19"	"2000"	"2000"	40	0.01%
	"Iowa"	"19"	"1999"	"1999"	58	0.02%
	"Iowa"	"19"	"1998"	"1998"	55	0.01%
	"Iowa"	"19"	"1997"	"1997"	74	0.02%
	"Iowa"	"19"	"1996"	"1996"	69	0.02%
	"Iowa"	"19"	"1995"	"1995"	72	0.02%
	"Iowa"	"19"	"1994"	"1994"	66	0.02%
	"Iowa"	"19"	"1993"	"1993"	59	0.02%
"Total"	"Iowa"	"19"			1301	0.34%
	"Kansas"	"20"	"2018"	"2018"	28	0.01%
	"Kansas"	"20"	"2017"	"2017"	29	0.01%
	"Kansas"	"20"	"2016"	"2016"	39	0.01%
	"Kansas"	"20"	"2015"	"2015"	36	0.01%
	"Kansas"	"20"	"2014"	"2014"	40	0.01%
	"Kansas"	"20"	"2013"	"2013"	36	0.01%
	"Kansas"	"20"	"2012"	"2012"	42	0.01%
	"Kansas"	"20"	"2011"	"2011"	36	0.01%
	"Kansas"	"20"	"2010"	"2010"	46	0.01%
	"Kansas"	"20"	"2009"	"2009"	64	0.02%
	"Kansas"	"20"	"2008"	"2008"	57	0.02%
	"Kansas"	"20"	"2007"	"2007"	59	0.02%
	"Kansas"	"20"	"2006"	"2006"	82	0.02%
	"Kansas"	"20"	"2005"	"2005"	60	0.02%
	"Kansas"	"20"	"2004"	"2004"	62	0.02%
	"Kansas"	"20"	"2003"	"2003"	75	0.02%
	"Kansas"	"20"	"2002"	"2002"	86	0.02%
	"Kansas"	"20"	"2001"	"2001"	81	0.02%
	"Kansas"	"20"	"2000"	"2000"	77	0.02%
	"Kansas"	"20"	"1999"	"1999"	69	0.02%
	"Kansas"	"20"	"1998"	"1998"	56	0.01%
	"Kansas"	"20"	"1997"	"1997"	78	0.02%
	"Kansas"	"20"	"1996"	"1996"	73	0.02%
	"Kansas"	"20"	"1995"	"1995"	89	0.02%
	"Kansas"	"20"	"1994"	"1994"	84	0.02%
	"Kansas"	"20"	"1993"	"1993"	83	0.02%
"Total"	"Kansas"	"20"			1567	0.41%
	"Kentucky"	"21"	"2018"	"2018"	65	0.02%
	"Kentucky"	"21"	"2017"	"2017"	65	0.02%
	"Kentucky"	"21"	"2016"	"2016"	91	0.02%
	"Kentucky"	"21"	"2015"	"2015"	67	0.02%
	"Kentucky"	"21"	"2014"	"2014"	80	0.02%
	"Kentucky"	"21"	"2013"	"2013"	59	0.02%
	"Kentucky"	"21"	"2012"	"2012"	78	0.02%
	"Kentucky"	"21"	"2011"	"2011"	70	0.02%
	"Kentucky"	"21"	"2010"	"2010"	90	0.02%
	"Kentucky"	"21"	"2009"	"2009"	75	0.02%
	"Kentucky"	"21"	"2008"	"2008"	101	0.03%
	"Kentucky"	"21"	"2007"	"2007"	120	0.03%
	"Kentucky"	"21"	"2006"	"2006"	84	0.02%
	"Kentucky"	"21"	"2005"	"2005"	124	0.03%
	"Kentucky"	"21"	"2004"	"2004"	127	0.03%
	"Kentucky"	"21"	"2003"	"2003"	138	0.04%
	"Kentucky"	"21"	"2002"	"2002"	146	0.04%
	"Kentucky"	"21"	"2001"	"2001"	152	0.04%
	"Kentucky"	"21"	"2000"	"2000"	147	0.04%
	"Kentucky"	"21"	"1999"	"1999"	209	0.06%
